LAST_NAME,PLAYER_NAME,POSITION,GEN_POST,MPG,PPG,FG_PCT,FG3_PCT,FT_PCT,RPG,APG,SPG,BPG,TPG,FPG
Lee,Damion Lee,SG,Guard,22.5,9.4,0.422,0.334,0.832,3.8,1.6,0.9,0.0,0.8,1.6
Markota,Damir Markota,PF,Front,5.7,1.7,0.365,0.375,0.636,1.0,0.2,0.1,0.0,0.5,0.7
Rudez,Damjan Rudez,SF,Wing,10.2,2.9,0.402,0.353,0.565,0.6,0.5,0.2,0.0,0.4,0.9
Jones,Damon Jones,PG,Guard,19.7,6.2,0.395,0.384,0.641,1.5,2.5,0.3,0.0,0.7,1.0
Stoudamire,Damon Stoudamire,PG,Guard,29.6,10.8,0.393,0.358,0.843,3.1,4.9,0.9,0.0,1.8,1.7
Brown,Damone Brown,SF,Wing,10.8,2.9,0.291,0.091,0.642,1.7,0.4,0.2,0.1,0.7,1.3
Dotson,Damyean Dotson,SG,Guard,18.5,7.1,0.425,0.351,0.702,2.4,1.2,0.5,0.0,0.6,1.1
Dickau,Dan Dickau,PG,Guard,13.8,5.0,0.390,0.356,0.841,1.1,2.2,0.5,0.0,0.9,1.6
Gadzuric,Dan Gadzuric,C,Front,13.3,3.9,0.432,0.0,0.431,3.9,0.3,0.4,0.7,0.6,2.3
Langhi,Dan Langhi,SF,Wing,8.7,2.7,0.381,0.26,0.719,1.3,0.2,0.1,0.0,0.2,0.8
Majerle,Dan Majerle,SF,Wing,21.4,4.8,0.339,0.325,0.704,2.9,1.5,0.8,0.2,0.6,1.7
McClintock,Dan McClintock,C,Front,9.7,3.0,0.5,0.0,0.0,2.8,0.2,0.0,0.3,0.5,1.8
Barros,Dana Barros,PG,Guard,16.3,6.8,0.498,0.252,0.876,1.2,1.5,0.3,0.0,0.7,1.4
Ewing,Daniel Ewing,PG,Guard,13.2,3.3,0.392,0.3,0.780,1.2,1.4,0.5,0.1,0.8,1.1
Gafford,Daniel Gafford,C,Front,14.2,5.1,0.701,0.0,0.532,2.5,0.5,0.3,1.3,0.7,2.3
Gibson,Daniel Gibson,PG,Guard,23.4,7.6,0.400,0.408,0.757,2.0,1.9,0.6,0.2,0.9,2.0
Hamilton,Daniel Hamilton,SG,Guard,7.6,2.5,0.419,0.374,0.25,1.6,1.2,0.2,0.0,0.5,0.6
Ochefu,Daniel Ochefu,C,Front,3.9,1.3,0.444,0.0,0.0,1.2,0.2,0.1,0.0,0.2,0.9
Orton,Daniel Orton,C,Front,10.3,2.7,0.492,0.0,0.578,2.4,0.4,0.3,0.5,0.5,1.5
Santiago,Daniel Santiago,C,Front,10.3,2.9,0.447,0.0,0.523,2.0,0.3,0.2,0.3,0.6,1.8
Theis,Daniel Theis,C,Front,17.5,6.7,0.551,0.339,0.751,4.7,1.1,0.4,0.9,0.7,2.8
Gallinari,Danilo Gallinari,PF,Front,30.2,15.6,0.425,0.377,0.883,4.7,1.9,0.7,0.3,1.2,1.7
Ferry,Danny Ferry,PF,Front,15.5,4.0,0.419,0.411,0.815,1.9,0.7,0.2,0.1,0.4,1.4
Fortson,Danny Fortson,C,Front,18.1,7.0,0.491,0.035,0.779,6.9,0.5,0.2,0.0,1.3,3.1
Granger,Danny Granger,SF,Wing,28.9,15.0,0.414,0.353,0.820,4.4,1.6,0.8,0.7,1.6,2.5
Green,Danny Green,SG,Guard,22.8,8.1,0.424,0.385,0.717,3.1,1.4,0.9,0.6,0.9,1.6
Manning,Danny Manning,PF,Front,12.0,4.6,0.459,0.256,0.743,2.1,0.7,0.6,0.3,0.7,1.8
Cunningham,Dante Cunningham,SF,Wing,20.5,5.6,0.472,0.169,0.651,3.7,0.7,0.6,0.4,0.4,1.6
Exum,Dante Exum,SG,Guard,17.4,6.1,0.429,0.305,0.752,1.8,2.1,0.4,0.1,1.2,1.6
House Jr.,Danuel House Jr.,SG,Guard,18.4,6.5,0.332,0.259,0.598,3.0,0.8,0.4,0.3,0.5,1.3
Hobson,Darington Hobson,SG,Guard,7.8,0.8,0.154,0.0,0.0,0.6,1.2,0.0,0.0,0.4,0.2
Saric,Dario Saric,PF,Front,26.4,12.0,0.440,0.352,0.838,6.1,2.0,0.6,0.2,1.6,2.1
Bazley,Darius Bazley,PF,Front,17.2,4.5,0.383,0.3,0.680,3.7,0.5,0.4,0.7,0.8,0.8
Garland,Darius Garland,PG,Guard,30.9,12.3,0.401,0.355,0.875,1.9,3.9,0.7,0.1,2.6,1.6
Johnson-Odom,Darius Johnson-Odom,SG,Guard,3.2,0.0,0.0,0.0,0.0,0.8,0.3,0.1,0.0,0.3,0.5
Miles,Darius Miles,SF,Wing,25.3,9.9,0.472,0.157,0.607,4.6,1.7,0.8,1.0,1.9,2.2
Miller,Darius Miller,SF,Wing,17.4,4.6,0.364,0.298,0.692,1.3,1.1,0.3,0.1,0.5,1.9
Morris,Darius Morris,PG,Guard,10.6,3.1,0.390,0.334,0.603,0.9,1.4,0.3,0.0,0.8,0.9
