SEASON,TEAM,PPG,FG_PCT,FG3_PCT,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,FPG,WIN_PCT
2008,BOS,100.,0.475,0.381,0.770,10.1,31.8,42.0,22.3,8.4,4.6,14.4,22.7,80.5
2008,CHA,97.0,0.451,0.366,0.713,10.8,29.7,40.6,21.3,7.4,4.9,13.8,21.6,39
2008,CHI,97.3,0.435,0.363,0.755,12.8,30.2,43.0,22.0,7.7,5.2,14.0,21.7,40.2
2008,CLE,96.3,0.438,0.357,0.716,13.3,31.2,44.5,20,7.0,5.2,13.1,20.8,54.9
2008,DAL,100.,0.464,0.352,0.814,10.7,32.2,43,20.9,5.9,4.9,12.0,21.7,62.2
2008,DEN,110.,0.469,0.354,0.750,11.1,32.9,44.0,24.6,9.1,6.7,14.4,21.1,61
2008,DET,97.4,0.457,0.366,0.766,11.8,29.5,41.4,22.3,7.1,5.7,11.0,20.5,72
2008,GSW,111.,0.459,0.348,0.752,12.7,30.4,43.1,22.3,9.0,4.5,12.9,22.8,58.5
2008,HOU,96.7,0.448,0.341,0.726,12.2,32.4,44.6,21.4,7.2,5.1,13.0,19.6,67.1
2008,IND,103.,0.443,0.373,0.767,11.0,32.1,43.1,22.7,7.5,5.0,14.7,23.4,43.9
2008,LAC,93.8,0.437,0.324,0.781,9.75,30.3,40.1,21.1,6.7,4.8,13.7,21.2,28
2008,LAL,108.,0.476,0.378,0.769,10.9,33.1,44.1,24.4,7.9,5.3,13.6,20.6,69.5
2008,MEM,100.,0.454,0.348,0.723,10.3,31.3,41.6,19.1,6.1,4.7,14.7,19.4,26.8
2008,MIA,91.3,0.443,0.357,0.727,9.06,28.5,37.6,20.0,7.1,4.3,14.0,20.3,18.3
2008,MIL,97.0,0.448,0.344,0.733,12.8,28.8,41.6,21.4,6.6,4.4,14.2,21.3,31.7
2008,MIN,95.5,0.451,0.350,0.735,11.7,29.6,41.3,19.8,7.5,3.7,13.9,22.9,26.8
2008,NOP,100.,0.465,0.388,0.768,11.4,30.4,41.8,21.7,7.7,3.9,11.2,18.6,68.3
2008,NYK,96.9,0.439,0.337,0.727,12.5,29.9,42.5,18.6,6.3,2.5,13.8,21.4,28
2008,OKC,97.5,0.444,0.333,0.769,11.8,32.7,44.6,21.3,6.4,4.8,15.2,20.4,24.4
2008,ORL,104.,0.474,0.386,0.721,9.36,32.6,42.0,20.8,6.3,4.0,13.8,20.5,63.4
2008,PHI,96.6,0.459,0.317,0.706,13.0,28.9,41.9,20.4,8.6,4.8,13.5,19.7,48.8
2008,PHX,110.,0.500,0.393,0.783,8.78,32.7,41.5,26.6,6.4,6.3,13.8,19.9,67.1
2008,POR,95.3,0.448,0.377,0.766,10.9,29.7,40.7,21.1,5.5,4.3,12.1,20.0,50
2008,SAC,102.,0.464,0.373,0.797,10.1,29.9,40.0,19.1,7.9,4.0,15.3,22.4,46.3
2008,SAS,94.0,0.455,0.367,0.761,9.34,31.4,40.7,20.6,6.2,4.0,11.8,18.5,68.3
2008,TOR,100.,0.468,0.392,0.812,9.63,30.4,40.0,23.8,6.9,4.0,11.1,19.4,50
2008,UTA,106.,0.497,0.371,0.759,11.4,29.3,40.8,26.4,8.7,4.3,14.2,24.0,65.9
2008,WAS,98.8,0.446,0.356,0.782,12.2,29.3,41.5,19.5,7.7,4.7,12.5,19.5,52.4
2009,ATL,98.1,0.458,0.365,0.737,10.6,29.4,40.0,20.2,7.3,4.5,12.1,19.6,57.3
2009,BKN,98.0,0.447,0.375,0.778,10.3,29.4,39.8,19.9,6.8,4.7,12.3,22.4,41.5
2009,BOS,100.,0.485,0.397,0.764,10.5,31.5,42.1,22.7,7.5,4.7,15,23.1,75.6
2009,CHA,93.6,0.454,0.365,0.740,10.8,28.8,39.6,21.2,7.0,4.8,14.8,21.3,42.7
2009,CHI,102.,0.456,0.381,0.795,11.8,30.2,42.0,21.1,7.5,5.5,13.8,20.8,50
2009,CLE,100.,0.468,0.392,0.756,10.8,31.3,42.1,20.2,7.2,5.3,11.9,20.2,80.5
2009,DAL,101.,0.462,0.349,0.818,11.0,31.6,42.7,21.6,7.2,5.2,12.2,19.5,61
2009,DEN,104.,0.469,0.371,0.760,11.0,30.5,41.6,22.1,8.6,6,14.9,22.8,65.9
2009,DET,94.2,0.454,0.349,0.750,11.5,29.8,41.4,20.5,6.0,4.5,11.2,20.8,47.6
2009,GSW,108.,0.457,0.372,0.791,11.6,30.3,42.0,20.8,7.7,6.4,14.2,22.4,35.4
2009,HOU,98.4,0.453,0.375,0.804,10.5,32.4,42.9,20.2,6.6,4.3,13.3,18.9,64.6
2009,IND,105.,0.454,0.377,0.806,11.2,32.4,43.7,21.6,6.9,5.2,13.9,23.1,43.9
2009,LAC,95.1,0.441,0.353,0.736,10.8,28.9,39.8,21.0,6.9,5.8,14.2,20.1,23.2
2009,LAL,106.,0.473,0.360,0.770,12.3,31.5,43.9,23.2,8.7,5.1,13.1,20.7,79.3
2009,MEM,93.8,0.453,0.359,0.755,10.3,28.5,38.8,17.3,7.5,4.6,14.1,21.6,29.3
2009,MIA,98.3,0.456,0.356,0.754,10.0,29.4,39.5,20.3,7.9,5.5,11.9,20.6,52.4
2009,MIL,99.2,0.445,0.362,0.780,11.8,28.8,40.7,21.9,7.4,3.7,13.6,24.2,41.5
2009,MIN,97.7,0.441,0.352,0.768,11.8,29.7,41.6,20.4,6.2,3.9,13.4,21.7,29.3
2009,NOP,95.8,0.457,0.364,0.806,9.78,29.9,39.6,19.6,7.2,4.1,11.7,20.3,59.8
2009,NYK,105.,0.445,0.360,0.784,11.1,31.0,42.1,21.1,7.4,2.4,13.9,20.3,39
2009,OKC,96.9,0.446,0.345,0.785,12.1,30.4,42.6,20.2,7.4,4.5,15.5,20.1,28
2009,ORL,101.,0.456,0.380,0.715,9.98,33.2,43.2,19.4,6.9,5.3,13.5,20.2,72
2009,PHI,97.4,0.458,0.318,0.745,12.6,28.4,41.1,20.0,8.0,5.0,13.5,20.1,50
2009,PHX,109.,0.503,0.382,0.744,10.9,30.7,41.7,23.2,7.1,5.1,15.4,20.6,56.1
2009,POR,99.4,0.464,0.383,0.765,12.9,28.7,41.7,20.3,6.7,4.9,12.1,20.3,65.9
2009,SAC,100.,0.447,0.367,0.798,10.2,28.8,39.0,19.7,6.9,4.2,14.7,23.2,20.7
2009,SAS,95.7,0.465,0.386,0.761,8.76,31.7,40.4,20.9,5.7,3.9,10.9,18.5,65.9
2009,TOR,99.0,0.457,0.371,0.824,9.78,30.6,40.4,22.3,6.3,4.7,12.8,19.4,40.2
2009,UTA,103.,0.474,0.349,0.771,11.4,29.5,41.0,24.6,8.7,4.5,14.2,22.3,58.5
